# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Nov  9 07:29:35 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2 He CH4 H2O CO2 CO Rayleigh CIA
6.811861877e-01 9.62123e-01 9.99999e-01 9.99999e-01 9.99051e-01 9.99433e-01 9.99999e-01 9.99999e-01 9.63582e-01 9.99999e-01
6.845921186e-01 9.61903e-01 9.99999e-01 9.99999e-01 9.98534e-01 9.98990e-01 9.99999e-01 9.99999e-01 9.64288e-01 9.99999e-01
6.880150792e-01 9.63035e-01 9.99999e-01 9.99999e-01 9.99102e-01 9.98879e-01 9.99999e-01 9.99999e-01 9.64981e-01 9.99999e-01
6.914551546e-01 9.56345e-01 9.99999e-01 9.99999e-01 9.99466e-01 9.90881e-01 9.99999e-01 9.99999e-01 9.65661e-01 9.99998e-01
6.949124304e-01 9.19966e-01 9.99999e-01 9.99999e-01 9.98766e-01 9.53199e-01 9.99999e-01 9.99999e-01 9.66327e-01 9.99997e-01
6.983869925e-01 9.35115e-01 9.99999e-01 9.99999e-01 9.95353e-01 9.71561e-01 9.99999e-01 9.99999e-01 9.66981e-01 9.99997e-01
7.018789275e-01 9.24708e-01 9.99999e-01 9.99999e-01 9.90335e-01 9.64975e-01 9.99999e-01 9.99999e-01 9.67623e-01 9.99997e-01
7.053883221e-01 9.39713e-01 9.99999e-01 9.99999e-01 9.92304e-01 9.78051e-01 9.99999e-01 9.99999e-01 9.68252e-01 9.99998e-01
7.089152637e-01 9.52649e-01 9.99999e-01 9.99999e-01 9.96009e-01 9.87198e-01 9.99999e-01 9.99999e-01 9.68869e-01 9.99998e-01
7.124598400e-01 9.56835e-01 9.99999e-01 9.99999e-01 9.97517e-01 9.89419e-01 9.99999e-01 9.99999e-01 9.69475e-01 9.99997e-01
7.160221392e-01 9.01653e-01 9.99999e-01 9.99999e-01 9.92208e-01 9.36775e-01 9.99999e-01 9.99999e-01 9.70069e-01 9.99994e-01
7.196022499e-01 8.07068e-01 9.99999e-01 9.99999e-01 9.68951e-01 8.58122e-01 9.99999e-01 9.99999e-01 9.70651e-01 9.99989e-01
7.232002612e-01 8.16493e-01 9.99999e-01 9.99999e-01 9.37430e-01 8.96808e-01 9.99999e-01 9.99999e-01 9.71222e-01 9.99986e-01
7.268162625e-01 7.64481e-01 9.99999e-01 9.99999e-01 8.83464e-01 8.90455e-01 9.99999e-01 9.99999e-01 9.71783e-01 9.99990e-01
7.304503438e-01 8.21458e-01 9.99995e-01 9.99999e-01 9.32964e-01 9.05539e-01 9.99999e-01 9.99999e-01 9.72332e-01 9.99994e-01
7.341025955e-01 9.13619e-01 9.99975e-01 9.99999e-01 9.69048e-01 9.69097e-01 9.99999e-01 9.99999e-01 9.72871e-01 9.99996e-01
7.377731085e-01 9.39405e-01 9.99991e-01 9.99999e-01 9.87891e-01 9.76907e-01 9.99999e-01 9.99999e-01 9.73400e-01 9.99997e-01
7.414619740e-01 9.65319e-01 9.99999e-01 9.99999e-01 9.97701e-01 9.93453e-01 9.99999e-01 9.99999e-01 9.73918e-01 9.99998e-01
7.451692839e-01 9.72733e-01 9.99998e-01 9.99999e-01 9.99577e-01 9.98684e-01 9.99999e-01 9.99999e-01 9.74427e-01 9.99998e-01
7.488951303e-01 9.74094e-01 9.99996e-01 9.99999e-01 9.99634e-01 9.99515e-01 9.99999e-01 9.99999e-01 9.74926e-01 9.99998e-01
7.526396060e-01 9.74888e-01 9.99997e-01 9.99999e-01 9.99718e-01 9.99744e-01 9.99999e-01 9.99999e-01 9.75415e-01 9.99998e-01
7.564028040e-01 9.75165e-01 9.99999e-01 9.99999e-01 9.99392e-01 9.99860e-01 9.99999e-01 9.99999e-01 9.75894e-01 9.99998e-01
7.601848180e-01 9.73931e-01 9.99998e-01 9.99999e-01 9.97604e-01 9.99903e-01 9.99999e-01 9.99999e-01 9.76365e-01 9.99997e-01
7.639857421e-01 9.72669e-01 9.99999e-01 9.99999e-01 9.95763e-01 9.99981e-01 9.99999e-01 9.99999e-01 9.76826e-01 9.99997e-01
7.678056708e-01 9.72842e-01 9.99999e-01 9.99999e-01 9.95470e-01 9.99990e-01 9.99999e-01 9.99999e-01 9.77279e-01 9.99997e-01
7.716446992e-01 9.72512e-01 9.99999e-01 9.99999e-01 9.94696e-01 9.99976e-01 9.99999e-01 9.99999e-01 9.77722e-01 9.99996e-01
7.755029227e-01 9.69961e-01 9.99999e-01 9.99999e-01 9.91692e-01 9.99930e-01 9.99999e-01 9.99999e-01 9.78158e-01 9.99995e-01
7.793804373e-01 9.63243e-01 9.99999e-01 9.99999e-01 9.84578e-01 9.99744e-01 9.99999e-01 9.99999e-01 9.78584e-01 9.99994e-01
7.832773395e-01 9.54680e-01 9.99998e-01 9.99999e-01 9.76306e-01 9.98827e-01 9.99999e-01 9.99999e-01 9.79003e-01 9.99992e-01
7.871937262e-01 9.48927e-01 9.99998e-01 9.99999e-01 9.81077e-01 9.87568e-01 9.99999e-01 9.99999e-01 9.79413e-01 9.99990e-01
7.911296948e-01 9.37094e-01 9.99998e-01 9.99999e-01 9.80433e-01 9.75495e-01 9.99999e-01 9.99999e-01 9.79816e-01 9.99986e-01
7.950853433e-01 9.36688e-01 9.99908e-01 9.99999e-01 9.72177e-01 9.82988e-01 9.99999e-01 9.99999e-01 9.80210e-01 9.99982e-01
7.990607700e-01 9.24800e-01 9.99999e-01 9.99999e-01 9.72409e-01 9.69875e-01 9.99999e-01 9.99999e-01 9.80598e-01 9.99979e-01
8.030560739e-01 9.37610e-01 9.99960e-01 9.99999e-01 9.79907e-01 9.75423e-01 9.99999e-01 9.99999e-01 9.80977e-01 9.99975e-01
8.070713542e-01 9.55417e-01 9.99946e-01 9.99999e-01 9.87521e-01 9.85926e-01 9.99999e-01 9.99999e-01 9.81349e-01 9.99970e-01
8.111067110e-01 9.36358e-01 9.99999e-01 9.99999e-01 9.91674e-01 9.61840e-01 9.99999e-01 9.99999e-01 9.81714e-01 9.99962e-01
8.151622446e-01 8.58667e-01 9.99175e-01 9.99999e-01 9.96009e-01 8.77888e-01 9.99999e-01 9.99999e-01 9.82072e-01 9.99956e-01
8.192380558e-01 8.73495e-01 9.99999e-01 9.99999e-01 9.98224e-01 8.90739e-01 9.99999e-01 9.99999e-01 9.82423e-01 9.99960e-01
8.233342461e-01 8.66422e-01 9.99999e-01 9.99999e-01 9.99034e-01 8.82495e-01 9.99999e-01 9.99999e-01 9.82767e-01 9.99965e-01
8.274509173e-01 8.97093e-01 9.99699e-01 9.99999e-01 9.99332e-01 9.13147e-01 9.99999e-01 9.99999e-01 9.83105e-01 9.99971e-01
8.315881719e-01 9.13203e-01 9.99999e-01 9.99999e-01 9.99554e-01 9.29016e-01 9.99999e-01 9.99999e-01 9.83436e-01 9.99978e-01
8.357461127e-01 9.42844e-01 9.99999e-01 9.99999e-01 9.93590e-01 9.64608e-01 9.99999e-01 9.99999e-01 9.83760e-01 9.99979e-01
8.399248433e-01 9.44757e-01 9.99999e-01 9.99999e-01 9.78800e-01 9.80860e-01 9.99999e-01 9.99999e-01 9.84078e-01 9.99972e-01
8.441244675e-01 9.61163e-01 9.99999e-01 9.99999e-01 9.86264e-01 9.90039e-01 9.99999e-01 9.99999e-01 9.84390e-01 9.99960e-01
8.483450899e-01 9.71233e-01 9.99807e-01 9.99999e-01 9.91603e-01 9.94851e-01 9.99999e-01 9.99999e-01 9.84696e-01 9.99950e-01
8.525868153e-01 9.65064e-01 9.99959e-01 9.99999e-01 9.86107e-01 9.93630e-01 9.99999e-01 9.99999e-01 9.84996e-01 9.99961e-01
8.568497494e-01 9.45971e-01 9.99981e-01 9.99999e-01 9.62954e-01 9.97061e-01 9.99999e-01 9.99999e-01 9.85290e-01 9.99980e-01
8.611339981e-01 8.89332e-01 9.99998e-01 9.99999e-01 9.03106e-01 9.99164e-01 9.99999e-01 9.99999e-01 9.85579e-01 9.99990e-01
8.654396681e-01 8.72830e-01 9.99999e-01 9.99999e-01 8.85517e-01 9.99810e-01 9.99999e-01 9.99999e-01 9.85862e-01 9.99994e-01
8.697668665e-01 8.92567e-01 9.99999e-01 9.99999e-01 9.05192e-01 9.99898e-01 9.99999e-01 9.99999e-01 9.86139e-01 9.99996e-01
8.741157008e-01 9.24550e-01 9.99991e-01 9.99999e-01 9.37550e-01 9.99709e-01 9.99999e-01 9.99999e-01 9.86411e-01 9.99996e-01
8.784862793e-01 8.64920e-01 9.99999e-01 9.99999e-01 8.77249e-01 9.98930e-01 9.99999e-01 9.99999e-01 9.86678e-01 9.99996e-01
8.828787107e-01 3.46533e-01 9.99999e-01 9.99999e-01 3.51362e-01 9.97406e-01 9.99999e-01 9.99999e-01 9.86939e-01 9.99996e-01
8.872931042e-01 2.34510e-01 9.99999e-01 9.99999e-01 2.37830e-01 9.93201e-01 9.99999e-01 9.99999e-01 9.87195e-01 9.99995e-01
8.917295698e-01 3.38409e-01 9.99999e-01 9.99999e-01 3.44557e-01 9.85665e-01 9.99999e-01 9.99999e-01 9.87447e-01 9.99993e-01
8.961882176e-01 3.47984e-01 9.99996e-01 9.99999e-01 3.83597e-01 8.79156e-01 9.99999e-01 9.99999e-01 9.87693e-01 9.99988e-01
9.006691587e-01 5.19196e-01 9.99999e-01 9.99999e-01 5.99476e-01 8.41390e-01 9.99999e-01 9.99999e-01 9.87935e-01 9.99978e-01
9.051725045e-01 7.69824e-01 9.99999e-01 9.99999e-01 8.49872e-01 9.06483e-01 9.99999e-01 9.99999e-01 9.88171e-01 9.99973e-01
9.096983670e-01 7.95662e-01 9.99999e-01 9.99999e-01 9.52079e-01 8.40725e-01 9.99999e-01 9.99999e-01 9.88404e-01 9.99973e-01
9.142468589e-01 7.98069e-01 9.99999e-01 9.99999e-01 9.60638e-01 8.36982e-01 9.99999e-01 9.99999e-01 9.88631e-01 9.99974e-01
9.188180931e-01 8.44660e-01 9.99999e-01 9.99999e-01 9.84448e-01 8.67397e-01 9.99999e-01 9.99999e-01 9.88855e-01 9.99973e-01
9.234121836e-01 8.80553e-01 9.99999e-01 9.99999e-01 9.92553e-01 8.96990e-01 9.99999e-01 9.99999e-01 9.89074e-01 9.99964e-01
9.280292445e-01 8.24947e-01 9.99999e-01 9.99999e-01 9.96214e-01 8.37097e-01 9.99999e-01 9.99999e-01 9.89288e-01 9.99939e-01
9.326693908e-01 5.17850e-01 9.99999e-01 9.99999e-01 9.98756e-01 5.24061e-01 9.99999e-01 9.99999e-01 9.89499e-01 9.99875e-01
9.373327377e-01 5.24859e-01 9.99999e-01 9.99999e-01 9.99555e-01 5.30660e-01 9.99999e-01 9.99999e-01 9.89705e-01 9.99800e-01
9.420194014e-01 6.28966e-01 9.99984e-01 9.99999e-01 9.98696e-01 6.36348e-01 9.99999e-01 9.99999e-01 9.89907e-01 9.99777e-01
9.467294984e-01 5.82699e-01 9.99959e-01 9.99999e-01 9.93942e-01 5.92211e-01 9.99999e-01 9.99999e-01 9.90106e-01 9.99824e-01
9.514631459e-01 5.93161e-01 9.99923e-01 9.99999e-01 9.78196e-01 6.12389e-01 9.99999e-01 9.99999e-01 9.90300e-01 9.99888e-01
9.562204616e-01 6.56792e-01 9.99969e-01 9.99999e-01 9.79008e-01 6.77140e-01 9.99999e-01 9.99999e-01 9.90491e-01 9.99936e-01
9.610015639e-01 6.70698e-01 9.99998e-01 9.99999e-01 9.25858e-01 7.17978e-01 9.99999e-01 9.99999e-01 9.90678e-01 9.99956e-01
9.658065718e-01 6.92034e-01 9.99999e-01 9.99999e-01 8.71802e-01 7.81720e-01 9.99999e-01 9.99999e-01 9.90861e-01 9.99964e-01
9.706356046e-01 6.41502e-01 9.99996e-01 9.99999e-01 6.90107e-01 9.13646e-01 9.99999e-01 9.99999e-01 9.91041e-01 9.99972e-01
9.754887826e-01 6.66473e-01 9.99988e-01 9.99999e-01 7.60214e-01 8.62102e-01 9.99999e-01 9.99999e-01 9.91217e-01 9.99981e-01
9.803662265e-01 6.25008e-01 9.99997e-01 9.99999e-01 6.73076e-01 9.15444e-01 9.99999e-01 9.99999e-01 9.91390e-01 9.99988e-01
9.852680577e-01 6.64164e-01 9.99991e-01 9.99999e-01 6.87174e-01 9.61225e-01 9.99999e-01 9.99999e-01 9.91559e-01 9.99993e-01
9.901943980e-01 5.32171e-01 9.99998e-01 9.99999e-01 5.40575e-01 9.86929e-01 9.99999e-01 9.99999e-01 9.91725e-01 9.99994e-01
9.951453700e-01 5.80947e-01 9.99997e-01 9.99999e-01 5.87650e-01 9.94026e-01 9.99999e-01 9.99999e-01 9.91888e-01 9.99995e-01
1.000121097e+00 5.18313e-01 9.99999e-01 9.99999e-01 5.24814e-01 9.92337e-01 9.99999e-01 9.99999e-01 9.92047e-01 9.99783e-01
1.005121702e+00 5.50088e-01 9.99998e-01 9.99999e-01 5.57003e-01 9.91757e-01 9.99999e-01 9.99999e-01 9.92204e-01 9.99726e-01
1.010147311e+00 5.99706e-01 9.99999e-01 9.99999e-01 6.07655e-01 9.90562e-01 9.99999e-01 9.99999e-01 9.92357e-01 9.99634e-01
1.015198047e+00 6.15752e-01 9.99999e-01 9.99999e-01 6.22507e-01 9.94623e-01 9.99999e-01 9.99999e-01 9.92508e-01 9.99538e-01
1.020274038e+00 7.14450e-01 9.99999e-01 9.99999e-01 7.22418e-01 9.94677e-01 9.99999e-01 9.99999e-01 9.92655e-01 9.99467e-01
1.025375408e+00 7.78484e-01 9.99999e-01 9.99999e-01 7.86865e-01 9.95982e-01 9.99999e-01 9.99999e-01 9.92800e-01 9.99375e-01
1.030502285e+00 8.68456e-01 9.99999e-01 9.99999e-01 8.76563e-01 9.98251e-01 9.99999e-01 9.99999e-01 9.92941e-01 9.99215e-01
1.035654796e+00 9.14980e-01 9.99999e-01 9.99999e-01 9.22671e-01 9.99508e-01 9.99999e-01 9.99999e-01 9.93080e-01 9.98989e-01
1.040833070e+00 9.50174e-01 9.99999e-01 9.99999e-01 9.58240e-01 9.99597e-01 9.99999e-01 9.99999e-01 9.93216e-01 9.98724e-01
1.046037236e+00 9.68446e-01 9.99999e-01 9.99999e-01 9.76647e-01 9.99849e-01 9.99999e-01 9.99999e-01 9.93350e-01 9.98381e-01
1.051267422e+00 9.90211e-01 9.99999e-01 9.99999e-01 9.98978e-01 9.99837e-01 9.99999e-01 9.99999e-01 9.93481e-01 9.97881e-01
1.056523759e+00 9.90549e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99720e-01 9.99999e-01 9.99999e-01 9.93609e-01 9.97197e-01
1.061806378e+00 9.89339e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99154e-01 9.99999e-01 9.99999e-01 9.93735e-01 9.96417e-01
1.067115410e+00 9.87015e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97609e-01 9.99999e-01 9.99999e-01 9.93858e-01 9.95492e-01
