# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Thu Jul 20 10:20:22 2023
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 CO2 CH4 CO HCN Rayleigh CIA
2.030000000e-01 5.00966e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.00966e-03 9.99999e-01
2.040000000e-01 5.55366e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 5.55366e-03 9.99999e-01
2.050000000e-01 6.14139e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.14139e-03 9.99999e-01
2.060000000e-01 6.77488e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 6.77488e-03 9.99999e-01
2.070000000e-01 7.45613e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 7.45613e-03 9.99999e-01
2.080000000e-01 8.18715e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.18715e-03 9.99999e-01
2.090000000e-01 8.96989e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 8.96989e-03 9.99999e-01
2.100000000e-01 9.80627e-03 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.80627e-03 9.99999e-01
2.110000000e-01 1.06982e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.06982e-02 9.99999e-01
2.120000000e-01 1.16474e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.16474e-02 9.99999e-01
2.130000000e-01 1.26558e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.26558e-02 9.99999e-01
2.140000000e-01 1.37250e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.37250e-02 9.99999e-01
2.150000000e-01 1.48567e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.48567e-02 9.99999e-01
2.160000000e-01 1.60525e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.60525e-02 9.99999e-01
2.170000000e-01 1.73138e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.73138e-02 9.99999e-01
2.180000000e-01 1.86420e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 1.86420e-02 9.99999e-01
2.190000000e-01 2.00386e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.00386e-02 9.99999e-01
2.200000000e-01 2.15046e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.15046e-02 9.99999e-01
2.210000000e-01 2.30414e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.30414e-02 9.99999e-01
2.220000000e-01 2.46498e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.46498e-02 9.99999e-01
2.230000000e-01 2.63310e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.63310e-02 9.99999e-01
2.240000000e-01 2.80856e-02 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.99999e-01 2.80856e-02 9.99999e-01
